Paired evolution matrix comparison
Baseline: cand-private-food-floor-v16 (9 runs)
Candidate: cand-production-tool-tier-v18 (9 runs)
Matched by seed+years+repeat: 9; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 7/7.33; C 7/8; paired Δ med/mean +1/+0.67 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 96/237; C 67/217; paired Δ med/mean -29/-20 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 16/130.33; C 16/125.33; paired Δ med/mean 0/-5 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 983/954.67; C 969/947.33; paired Δ med/mean -14/-7.33 (3 pairs)
  actionPersonMonths: B med/mean 517/539; C 506/541; paired Δ med/mean -3/+2 (3 pairs)
  projectActionPersonMonths: B med/mean 46/63; C 39/58.67; paired Δ med/mean -4/-4.33 (3 pairs)
  projectActionMonthShare: B med/mean 8.51/11.86; C 7.77/11.25; paired Δ med/mean -0.74/-0.61 (3 pairs)
  ruleDecisions: B med/mean 1627/1572; C 1534/1650.67; paired Δ med/mean +131/+78.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 12.01/29.35; C 12.94/27.76; paired Δ med/mean -1.54/-1.58 (3 pairs)
  strategicIntents: B med/mean 168/473; C 169/443.33; paired Δ med/mean -3/-29.67 (3 pairs)
  socialIntents: B med/mean 931/928.33; C 1065/962.67; paired Δ med/mean +63/+34.33 (3 pairs)
  communications: B med/mean 402/358; C 380/380.33; paired Δ med/mean +39/+22.33 (3 pairs)
  survivalReflexActions: B med/mean 456/488.67; C 439/431.67; paired Δ med/mean -20/-57 (3 pairs)
  projectsStarted: B med/mean 22/23; C 20/19; paired Δ med/mean -5/-4 (3 pairs)
  projectsCompleted: B med/mean 12/13.67; C 10/11; paired Δ med/mean -2/-2.67 (3 pairs)
  projectsBlocked: B med/mean 8/8.67; C 6/7.33; paired Δ med/mean -2/-1.33 (3 pairs)
  projectPressureBasisProjects: B med/mean 22/23; C 20/19; paired Δ med/mean -5/-4 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 208/280.67; C 161/234.33; paired Δ med/mean -48/-46.33 (3 pairs)
  projectsWithPressureUpdates: B med/mean 22/22.33; C 20/18.33; paired Δ med/mean -5/-4 (3 pairs)
  projectPressureUpdates: B med/mean 191/257.67; C 148/215.33; paired Δ med/mean -43/-42.33 (3 pairs)
  projectPressureIncreases: B med/mean 39/32.33; C 32/28.33; paired Δ med/mean -7/-4 (3 pairs)
  projectPressureDecreases: B med/mean 42/45.67; C 37/35.33; paired Δ med/mean -12/-10.33 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 113/179.67; C 95/151.67; paired Δ med/mean -22/-28 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 11/11.33; C 11/14; paired Δ med/mean 0/+2.67 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 8/5.33; C 0/2.67; paired Δ med/mean 0/-2.67 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 10/13.67; C 10/13.67; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 268/414; C 210/394; paired Δ med/mean -36/-20 (3 pairs)
  projectProgressProjects: B med/mean 17/20.33; C 16/17; paired Δ med/mean -4/-3.33 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 162/289.33; C 127/287.67; paired Δ med/mean -12/-1.67 (3 pairs)
  projectMaterialContributionProgress: B med/mean 106/124.67; C 94/106.33; paired Δ med/mean -19/-18.33 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 6/6.33; C 5/5.67; paired Δ med/mean -1/-0.67 (3 pairs)
  projectSearchCampaigns: B med/mean 5/5.33; C 3/3.33; paired Δ med/mean -2/-2 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 5/5.33; C 3/3.33; paired Δ med/mean -2/-2 (3 pairs)
  searchCampaignActive: B med/mean 1/0.67; C 0/0; paired Δ med/mean -1/-0.67 (3 pairs)
  searchCampaignExhausted: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignClosed: B med/mean 4/4.67; C 3/3; paired Δ med/mean -1/-1.67 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 6/20.33; C 3/28; paired Δ med/mean -1/+7.67 (3 pairs)
  searchCampaignMaxTargets: B med/mean 2/15.33; C 1/25.67; paired Δ med/mean 0/+10.33 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 77/96.33; C 62/92.67; paired Δ med/mean -13/-3.67 (3 pairs)
  projectLogisticsFulfilled: B med/mean 76/91.33; C 62/89.33; paired Δ med/mean -13/-2 (3 pairs)
  projectLogisticsExhausted: B med/mean 0/2.33; C 0/2; paired Δ med/mean 0/-0.33 (3 pairs)
  projectSearchEpisodes: B med/mean 6/20.33; C 3/28; paired Δ med/mean -1/+7.67 (3 pairs)
  projectDropEpisodes: B med/mean 57/61; C 45/52.33; paired Δ med/mean -9/-8.67 (3 pairs)
  projectLogisticsActionEvents: B med/mean 231/360.33; C 174/349; paired Δ med/mean -23/-11.33 (3 pairs)
  jointProjectsCompleted: B med/mean 2/2; C 2/2.33; paired Δ med/mean 0/+0.33 (3 pairs)
  productionProjectsCompleted: B med/mean 2/5; C 2/3.67; paired Δ med/mean -1/-1.33 (3 pairs)
  constructionProjectsCompleted: B med/mean 10/8.67; C 8/7.33; paired Δ med/mean -1/-1.33 (3 pairs)
  totalStructures: B med/mean 9/8.33; C 7/7.33; paired Δ med/mean -1/-1 (3 pairs)
  completedStructures: B med/mean 2/1.67; C 2/1.67; paired Δ med/mean 0/0 (3 pairs)
  constructionPlacements: B med/mean 12/12; C 12/11; paired Δ med/mean -1/-1 (3 pairs)
  containersBuilt: B med/mean 2/2; C 2/1.67; paired Δ med/mean 0/-0.33 (3 pairs)
  standingContainers: B med/mean 2/2; C 2/1.67; paired Δ med/mean 0/-0.33 (3 pairs)
  containerTransfers: B med/mean 2/3.33; C 2/1.33; paired Δ med/mean 0/-2 (3 pairs)
  storedUnits: B med/mean 2/3.33; C 2/1.33; paired Δ med/mean 0/-2 (3 pairs)
  movementActions: B med/mean 945/1151.33; C 890/1074; paired Δ med/mean -55/-77.33 (3 pairs)
  movementActionShare: B med/mean 44.77/46.3; C 40.77/44.31; paired Δ med/mean -2.27/-1.99 (3 pairs)
  spearsCrafted: B med/mean 0/0.33; C 1/1; paired Δ med/mean +1/+0.67 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  recordsCreated: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  functionalInstitutions: B med/mean 1/1.67; C 1/1.67; paired Δ med/mean 0/0 (3 pairs)
  animalsHunted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 1/2; C 1/2; paired Δ med/mean 0/0 (3 pairs)
  dehydrationHibernations: B med/mean 5/6.33; C 7/7; paired Δ med/mean 0/+0.67 (3 pairs)
  assistedDependentHibernations: B med/mean 4/3.67; C 4/4.67; paired Δ med/mean 0/+1 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 0/0.67; C 0/0.67; paired Δ med/mean 0/0 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 70/70.67; C 58/60.67; paired Δ med/mean -12/-10 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 68/66.33; C 57/57.67; paired Δ med/mean -11/-8.67 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 57/61; C 45/52.33; paired Δ med/mean -9/-8.67 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 29/29.67; C 22/24; paired Δ med/mean -5/-5.67 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 29/29.67; C 22/24; paired Δ med/mean -5/-5.67 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 29/29.67; C 22/24; paired Δ med/mean -5/-5.67 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 29/29.67; C 22/24; paired Δ med/mean -5/-5.67 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 13/14.67; C 12/11.33; paired Δ med/mean -4/-3.33 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 146/176; C 127/125; paired Δ med/mean -64/-51 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 146/176; C 127/125; paired Δ med/mean -64/-51 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 146/176; C 127/125; paired Δ med/mean -64/-51 (3 pairs)
  hypothesisCombineAttempts: B med/mean 27/27; C 21/22; paired Δ med/mean -5/-5 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 19/19.33; C 17/16; paired Δ med/mean -1/-3.33 (3 pairs)
  hypothesisCombineResponses: B med/mean 5/7.67; C 4/6; paired Δ med/mean -1/-1.67 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 2/2; C 2/2.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 24/20.67; C 24/23; paired Δ med/mean 0/+2.33 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 1/1.67; C 1/2; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 27/25; C 17/19.67; paired Δ med/mean -5/-5.33 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 122/132.67; C 87/88.67; paired Δ med/mean -60/-44 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 18/17.67; C 13/14; paired Δ med/mean -1/-3.67 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 5/7.33; C 4/5.67; paired Δ med/mean -1/-1.67 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 1/1.33; C 1/2; paired Δ med/mean 0/+0.67 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 1/1.33; C 2/2.33; paired Δ med/mean +1/+1 (3 pairs)
  hypothesisExertAttempts: B med/mean 1/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExertNoResponses: B med/mean 1/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExertResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 4/3.33; C 2/2.67; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExposeAttempts: B med/mean 0/1.67; C 0/1.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeResponses: B med/mean 0/1.67; C 0/1.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 7/7.33; C 4/5.67; paired Δ med/mean -1/-1.67 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 5/7.33; C 3/5.67; paired Δ med/mean -2/-1.67 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 19/20.33; C 18/16.33; paired Δ med/mean -1/-4 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 4/2.67; C 3/4.33; paired Δ med/mean +1/+1.67 (3 pairs)
  hypothesisResponses: B med/mean 5/9.33; C 4/7.67; paired Δ med/mean -1/-1.67 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 1/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 2/8.67; C 0/0.67; paired Δ med/mean 0/-8 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 1/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTotalBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatAttempts: B med/mean 0/1.67; C 0/1.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatCandidates: B med/mean 0/14; C 0/12.67; paired Δ med/mean 0/-1.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatResponses: B med/mean 0/1.67; C 0/1.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisUniquePairs: B med/mean 21/21.33; C 17/19.33; paired Δ med/mean 0/-2 (3 pairs)
  hypothesisUniqueSignatures: B med/mean 21/21.33; C 17/19.33; paired Δ med/mean 0/-2 (3 pairs)
  hypothesisUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisUnresolvedActors: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisUnresolvedCampaigns: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
