Paired evolution matrix comparison
Baseline: candidate-civ61-breaks-v1-20260822 (6 runs)
Candidate: candidate-project-reopen-memory-v3-20260822 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 5/5.33; C 7/7; paired Δ med/mean +2/+1.67 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 2/4.33; C 1/4.67; paired Δ med/mean -1/+0.33 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 111/113.33; C 122/144.33; paired Δ med/mean +38/+31 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 96/97.67; C 111/131.33; paired Δ med/mean +40/+33.67 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 94/96; C 106/121.33; paired Δ med/mean +30/+25.33 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 30/30.33; C 27/41.67; paired Δ med/mean +8/+11.33 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 30/30.33; C 27/41.67; paired Δ med/mean +8/+11.33 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 30/30.33; C 27/41.67; paired Δ med/mean +8/+11.33 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 30/30.33; C 27/41.67; paired Δ med/mean +8/+11.33 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 18/18.33; C 16/23; paired Δ med/mean +8/+4.67 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 222/232.67; C 210/283.67; paired Δ med/mean +73/+51 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 222/232.67; C 210/283.67; paired Δ med/mean +73/+51 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 222/232.67; C 210/283.67; paired Δ med/mean +73/+51 (3 pairs)
  hypothesisCombineAttempts: B med/mean 27/25; C 24/33.33; paired Δ med/mean +4/+8.33 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 17/15.33; C 17/21.67; paired Δ med/mean 0/+6.33 (3 pairs)
  hypothesisCombineResponses: B med/mean 10/9.67; C 10/11.67; paired Δ med/mean +3/+2 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 3/2.67; C 0/1; paired Δ med/mean -2/-1.67 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 24/24; C 0/8.33; paired Δ med/mean -23/-15.67 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 2/2.33; C 0/1; paired Δ med/mean -2/-1.33 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 22/22.33; C 21/32.33; paired Δ med/mean +4/+10 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 153/166.33; C 156/223; paired Δ med/mean +60/+56.67 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 12/13; C 14/20.67; paired Δ med/mean +2/+7.67 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 10/9.33; C 10/11.67; paired Δ med/mean +4/+2.33 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 0/1; C 1/2.33; paired Δ med/mean +1/+1.33 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 2/2; C 0/0; paired Δ med/mean -2/-2 (3 pairs)
  hypothesisExertAttempts: B med/mean 2/2.33; C 1/1; paired Δ med/mean -2/-1.33 (3 pairs)
  hypothesisExertNoResponses: B med/mean 2/2.33; C 1/1; paired Δ med/mean -2/-1.33 (3 pairs)
  hypothesisExertResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 1/1.33; C 0/0.33; paired Δ med/mean -1/-1 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 2/2.67; C 5/5.67; paired Δ med/mean +3/+3 (3 pairs)
  hypothesisExposeAttempts: B med/mean 1/3; C 7/7.33; paired Δ med/mean +6/+4.33 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0; C 4/3.33; paired Δ med/mean +4/+3.33 (3 pairs)
  hypothesisExposeResponses: B med/mean 1/3; C 3/4; paired Δ med/mean 0/+1 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 8/7.33; C 8/9; paired Δ med/mean -1/+1.67 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 9/10.67; C 12/14; paired Δ med/mean +2/+3.33 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 19/17.67; C 17/26; paired Δ med/mean -1/+8.33 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 3/3; C 1/2; paired Δ med/mean -1/-1 (3 pairs)
  hypothesisResponses: B med/mean 11/12.67; C 13/15.67; paired Δ med/mean +3/+3 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 2/2.33; C 1/1; paired Δ med/mean -2/-1.33 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 12/17.67; C 8/10.67; paired Δ med/mean -12/-7 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 2/2.33; C 1/1; paired Δ med/mean -2/-1.33 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTotalBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatAttempts: B med/mean 1/3; C 7/7.33; paired Δ med/mean +6/+4.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatCandidates: B med/mean 9/24.67; C 30/41.67; paired Δ med/mean +22/+17 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatNoResponses: B med/mean 0/0; C 4/3.33; paired Δ med/mean +4/+3.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatResponses: B med/mean 1/3; C 3/4; paired Δ med/mean 0/+1 (3 pairs)
  hypothesisUniquePairs: B med/mean 22/21.33; C 22/25.33; paired Δ med/mean +6/+4 (3 pairs)
  hypothesisUniqueSignatures: B med/mean 22/21.33; C 22/25.33; paired Δ med/mean +6/+4 (3 pairs)
  hypothesisUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
