Paired evolution matrix comparison
Baseline: review10-v6-complete-before-owner-loss-20260820 (3 runs)
Candidate: review10-v7f-local-project-dedup-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 9/8.67; C 9/9.33; paired Δ med/mean 0/+0.67 (3 pairs)
  projectLifeReviewDecisions: B med/mean 3/3; C 0/0.67; paired Δ med/mean -1/-2.33 (3 pairs)
  lifeReviewPersonMonths: B med/mean 3/3; C 0/0.67; paired Δ med/mean -1/-2.33 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 3/3; C 0/0.67; paired Δ med/mean -1/-2.33 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 257/269.33; C 248/215.67; paired Δ med/mean -9/-53.67 (3 pairs)
  interruptLifeReviewChildren: B med/mean 3/3; C 0/0.67; paired Δ med/mean -1/-2.33 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 0/5; C 16/20.67; paired Δ med/mean +14/+15.67 (3 pairs)
  interruptFulfillmentChildren: B med/mean 1/2; C 2/1.67; paired Δ med/mean -1/-0.33 (3 pairs)
  interruptChildrenCompleted: B med/mean 243/264.67; C 235/198; paired Δ med/mean -8/-66.67 (3 pairs)
  interruptChildrenBlocked: B med/mean 0/4.33; C 13/17.67; paired Δ med/mean +13/+13.33 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptReturnsResumed: B med/mean 257/269.33; C 248/215.67; paired Δ med/mean -9/-53.67 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 149/135; C 49/104.33; paired Δ med/mean +43/-30.67 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 108/134.33; C 45/111.33; paired Δ med/mean -76/-23 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 1264/1214; C 1117/1030; paired Δ med/mean -97/-184 (3 pairs)
  actionPersonMonths: B med/mean 621/622; C 620/612.67; paired Δ med/mean -19/-9.33 (3 pairs)
  projectActionPersonMonths: B med/mean 113/101; C 64/86.67; paired Δ med/mean -22/-14.33 (3 pairs)
  projectActionMonthShare: B med/mean 18.2/16.06; C 12.17/14.27; paired Δ med/mean -2.78/-1.79 (3 pairs)
  ruleDecisions: B med/mean 1514/1479.33; C 1559/1498.67; paired Δ med/mean +45/+19.33 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 32.75/26.79; C 22.19/20.46; paired Δ med/mean -10.4/-6.33 (3 pairs)
  strategicIntents: B med/mean 489/419; C 341/309; paired Δ med/mean -148/-110 (3 pairs)
  socialIntents: B med/mean 1014/1031; C 1185/1172.67; paired Δ med/mean +181/+141.67 (3 pairs)
  communications: B med/mean 338/334.33; C 389/393.33; paired Δ med/mean +64/+59 (3 pairs)
  survivalReflexActions: B med/mean 432/533; C 389/364; paired Δ med/mean -43/-169 (3 pairs)
  projectsStarted: B med/mean 36/31.33; C 18/19.33; paired Δ med/mean -19/-12 (3 pairs)
  projectsCompleted: B med/mean 19/15.33; C 9/10; paired Δ med/mean -5/-5.33 (3 pairs)
  projectsBlocked: B med/mean 12/12.67; C 8/7.67; paired Δ med/mean -6/-5 (3 pairs)
  projectPressureBasisProjects: B med/mean 36/31.33; C 18/19.33; paired Δ med/mean -19/-12 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 531/532.33; C 318/362.33; paired Δ med/mean -215/-170 (3 pairs)
  projectsWithPressureUpdates: B med/mean 32/28; C 16/16.67; paired Δ med/mean -16/-11.33 (3 pairs)
  projectPressureUpdates: B med/mean 495/501; C 300/343; paired Δ med/mean -196/-158 (3 pairs)
  projectPressureIncreases: B med/mean 92/80.67; C 74/74.67; paired Δ med/mean +27/-6 (3 pairs)
  projectPressureDecreases: B med/mean 122/109; C 72/84.33; paired Δ med/mean +7/-24.67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 281/311.33; C 154/184; paired Δ med/mean -152/-127.33 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 6/7.33; C 4/4.33; paired Δ med/mean -2/-3 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 2/3.33; C 4/4; paired Δ med/mean 0/+0.67 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 21/25.67; C 9/12.67; paired Δ med/mean -12/-13 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 966/816; C 429/703.67; paired Δ med/mean +60/-112.33 (3 pairs)
  projectProgressProjects: B med/mean 34/29.67; C 16/18; paired Δ med/mean -18/-11.67 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 765/572.67; C 341/578.67; paired Δ med/mean +128/+6 (3 pairs)
  projectMaterialContributionProgress: B med/mean 201/243.33; C 137/125; paired Δ med/mean -113/-118.33 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 10/11; C 7/6.67; paired Δ med/mean -6/-4.33 (3 pairs)
  projectSearchCampaigns: B med/mean 15/10.67; C 4/6; paired Δ med/mean -6/-4.67 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 14/10; C 3/4.33; paired Δ med/mean -8/-5.67 (3 pairs)
  searchCampaignActive: B med/mean 0/0.33; C 0/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  searchCampaignExhausted: B med/mean 1/3.67; C 1/1.67; paired Δ med/mean 0/-2 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignClosed: B med/mean 6/6.33; C 3/3.33; paired Δ med/mean -3/-3 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 98/70.67; C 31/72; paired Δ med/mean +4/+1.33 (3 pairs)
  searchCampaignMaxTargets: B med/mean 41/33.67; C 28/31.67; paired Δ med/mean +1/-2 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 208/193.67; C 89/146; paired Δ med/mean -41/-47.67 (3 pairs)
  projectLogisticsFulfilled: B med/mean 199/189.33; C 87/143.67; paired Δ med/mean -42/-45.67 (3 pairs)
  projectLogisticsExhausted: B med/mean 2/2.67; C 0/0.67; paired Δ med/mean 0/-2 (3 pairs)
  projectSearchEpisodes: B med/mean 98/70.67; C 31/72; paired Δ med/mean +4/+1.33 (3 pairs)
  projectDropEpisodes: B med/mean 86/94.67; C 66/61; paired Δ med/mean -38/-33.67 (3 pairs)
  projectLogisticsActionEvents: B med/mean 868/690.67; C 394/649; paired Δ med/mean +140/-41.67 (3 pairs)
  jointProjectsCompleted: B med/mean 1/0.67; C 2/2.33; paired Δ med/mean +1/+1.67 (3 pairs)
  productionProjectsCompleted: B med/mean 2/3.67; C 2/3; paired Δ med/mean +1/-0.67 (3 pairs)
  constructionProjectsCompleted: B med/mean 12/11.67; C 7/7; paired Δ med/mean -5/-4.67 (3 pairs)
  totalStructures: B med/mean 15/15; C 11/10.33; paired Δ med/mean -4/-4.67 (3 pairs)
  completedStructures: B med/mean 3/3; C 2/2.33; paired Δ med/mean 0/-0.67 (3 pairs)
  constructionPlacements: B med/mean 20/22; C 14/13; paired Δ med/mean -6/-9 (3 pairs)
  containersBuilt: B med/mean 2/4.67; C 1/1.33; paired Δ med/mean -2/-3.33 (3 pairs)
  standingContainers: B med/mean 2/4.67; C 1/1.33; paired Δ med/mean -2/-3.33 (3 pairs)
  containerTransfers: B med/mean 4/9; C 2/1.33; paired Δ med/mean -4/-7.67 (3 pairs)
  storedUnits: B med/mean 4/7; C 2/1.33; paired Δ med/mean -4/-5.67 (3 pairs)
  movementActions: B med/mean 1884/1657; C 1122/1325.67; paired Δ med/mean +174/-331.33 (3 pairs)
  movementActionShare: B med/mean 52.97/52.52; C 41.37/46.79; paired Δ med/mean -2.7/-5.73 (3 pairs)
  spearsCrafted: B med/mean 2/2.33; C 0/0.33; paired Δ med/mean -2/-2 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 0/1; C 0/0; paired Δ med/mean 0/-1 (3 pairs)
  recordsCreated: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  functionalInstitutions: B med/mean 1/1.33; C 1/1; paired Δ med/mean 0/-0.33 (3 pairs)
  animalsHunted: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 1/1.33; C 1/2; paired Δ med/mean 0/+0.67 (3 pairs)
  dehydrationHibernations: B med/mean 23/23.33; C 25/21; paired Δ med/mean +2/-2.33 (3 pairs)
  assistedDependentHibernations: B med/mean 6/5.67; C 4/4.33; paired Δ med/mean -1/-1.33 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 96/120.33; C 77/69.33; paired Δ med/mean -45/-51 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 90/114.67; C 75/66; paired Δ med/mean -43/-48.67 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 86/94.67; C 66/61; paired Δ med/mean -38/-33.67 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 29/24.33; C 29/27.33; paired Δ med/mean +1/+3 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 29/24.33; C 29/27.33; paired Δ med/mean +1/+3 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 29/24.33; C 29/27.33; paired Δ med/mean +1/+3 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 29/24.33; C 29/27.33; paired Δ med/mean +1/+3 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 13/12.33; C 12/11.67; paired Δ med/mean +1/-0.67 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 162/143.33; C 155/132.33; paired Δ med/mean -6/-11 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 162/143.33; C 155/132.33; paired Δ med/mean -6/-11 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 162/143.33; C 155/132.33; paired Δ med/mean -6/-11 (3 pairs)
  hypothesisCombineAttempts: B med/mean 21/19.33; C 25/25; paired Δ med/mean +4/+5.67 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 14/12.33; C 20/19; paired Δ med/mean +5/+6.67 (3 pairs)
  hypothesisCombineResponses: B med/mean 7/7; C 7/6; paired Δ med/mean -2/-1 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 2/2; C 1/1.67; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 17/13.33; C 5/5.67; paired Δ med/mean -11/-7.67 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 2/2; C 1/1.67; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 17/17.33; C 22/23.33; paired Δ med/mean +4/+6 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 87/94.33; C 111/107.67; paired Δ med/mean +24/+13.33 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 10/10.33; C 20/17.33; paired Δ med/mean +5/+7 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 7/7; C 7/6; paired Δ med/mean -2/-1 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 6/5; C 1/2.33; paired Δ med/mean -2/-2.67 (3 pairs)
  hypothesisExertAttempts: B med/mean 2/1.33; C 0/0.67; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExertNoResponses: B med/mean 1/1; C 0/0.67; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisExertResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 1/1; C 4/3.33; paired Δ med/mean +2/+2.33 (3 pairs)
  hypothesisExposeAttempts: B med/mean 5/3.67; C 0/1.67; paired Δ med/mean -1/-2 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisExposeResponses: B med/mean 4/3; C 0/1.33; paired Δ med/mean 0/-1.67 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 6/5.67; C 7/6.33; paired Δ med/mean 0/+0.67 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 7/6.67; C 5/5.33; paired Δ med/mean -2/-1.33 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 16/14; C 21/20; paired Δ med/mean +6/+6 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 7/6; C 1/3.33; paired Δ med/mean -2/-2.67 (3 pairs)
  hypothesisResponses: B med/mean 11/10.33; C 7/7.33; paired Δ med/mean -2/-3 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 1/1; C 0/0.67; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 12/12; C 0/8; paired Δ med/mean 0/-4 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 0/0.67; C 0/0.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTotalBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatAttempts: B med/mean 5/3.67; C 0/1.67; paired Δ med/mean -1/-2 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatCandidates: B med/mean 28/23.33; C 0/11; paired Δ med/mean 0/-12.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatNoResponses: B med/mean 0/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatResponses: B med/mean 4/3; C 0/1.33; paired Δ med/mean 0/-1.67 (3 pairs)
  hypothesisUniquePairs: B med/mean 23/19.67; C 20/20.67; paired Δ med/mean -1/+1 (3 pairs)
  hypothesisUniqueSignatures: B med/mean 23/19.67; C 20/20.67; paired Δ med/mean -1/+1 (3 pairs)
  hypothesisUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
