Paired evolution matrix comparison
Baseline: v32-imitation-commitment-20260816a (3 runs)
Candidate: v33-founder-reproduction (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 9/8; C 8/8.67; paired Δ med/mean +2/+0.67 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 1/0.67; C 1/1; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 537/537.33; C 476/494.33; paired Δ med/mean -65/-43 (3 pairs)
  actionPersonMonths: B med/mean 257/263.67; C 241/238; paired Δ med/mean -25/-25.67 (3 pairs)
  projectActionPersonMonths: B med/mean 41/39.67; C 33/31; paired Δ med/mean -6/-8.67 (3 pairs)
  projectActionMonthShare: B med/mean 14.34/15.14; C 14/13.06; paired Δ med/mean -0.34/-2.09 (3 pairs)
  ruleDecisions: B med/mean 402/389; C 336/328; paired Δ med/mean -53/-61 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 87.56/86.93; C 81.66/83.9; paired Δ med/mean -5.9/-3.04 (3 pairs)
  strategicIntents: B med/mean 352/337.67; C 269/274.33; paired Δ med/mean -67/-63.33 (3 pairs)
  socialIntents: B med/mean 50/51.33; C 64/53.67; paired Δ med/mean +14/+2.33 (3 pairs)
  communications: B med/mean 39/39.67; C 54/47; paired Δ med/mean +12/+7.33 (3 pairs)
  survivalReflexActions: B med/mean 438/473; C 428/645.67; paired Δ med/mean -10/+172.67 (3 pairs)
  projectsStarted: B med/mean 25/23; C 21/18.67; paired Δ med/mean -4/-4.33 (3 pairs)
  projectsCompleted: B med/mean 9/8.33; C 5/5; paired Δ med/mean -4/-3.33 (3 pairs)
  projectsBlocked: B med/mean 14/13.67; C 15/12.67; paired Δ med/mean -1/-1 (3 pairs)
  projectPressureBasisProjects: B med/mean 25/23; C 21/18.67; paired Δ med/mean -4/-4.33 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 74/59.33; C 50/59.67; paired Δ med/mean +10/+0.33 (3 pairs)
  projectsWithPressureUpdates: B med/mean 19/16.67; C 12/13.33; paired Δ med/mean -1/-3.33 (3 pairs)
  projectPressureUpdates: B med/mean 43/36.33; C 26/41; paired Δ med/mean +12/+4.67 (3 pairs)
  projectPressureIncreases: B med/mean 9/7; C 9/8.67; paired Δ med/mean 0/+1.67 (3 pairs)
  projectPressureDecreases: B med/mean 10/11.33; C 13/12; paired Δ med/mean +4/+0.67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 18/18; C 12/20.33; paired Δ med/mean +8/+2.33 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 1/6.67; C 0/3; paired Δ med/mean -1/-3.67 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 2/2; C 2/1.67; paired Δ med/mean 0/-0.33 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 17/15; C 16/14.33; paired Δ med/mean -1/-0.67 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 13/12.67; C 17/21.67; paired Δ med/mean +13/+9 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  projectProgressEvidenceCount: B med/mean 169/210.33; C 108/128; paired Δ med/mean -17/-82.33 (3 pairs)
  projectProgressProjects: B med/mean 23/20.67; C 17/15.67; paired Δ med/mean -4/-5 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 95/134.67; C 56/73.33; paired Δ med/mean -11/-61.33 (3 pairs)
  projectMaterialContributionProgress: B med/mean 74/75.67; C 56/54.67; paired Δ med/mean -7/-21 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 10/10.33; C 9/8.67; paired Δ med/mean -3/-1.67 (3 pairs)
  projectSearchCampaigns: B med/mean 0/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 0/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  searchCampaignActive: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignExhausted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignClosed: B med/mean 0/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 0/5.67; C 0/0.33; paired Δ med/mean 0/-5.33 (3 pairs)
  searchCampaignMaxTargets: B med/mean 0/5.33; C 0/0.33; paired Δ med/mean 0/-5 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 51/53.67; C 36/35; paired Δ med/mean -10/-18.67 (3 pairs)
  projectLogisticsFulfilled: B med/mean 50/51.33; C 35/33.33; paired Δ med/mean -12/-18 (3 pairs)
  projectLogisticsExhausted: B med/mean 1/1; C 0/0.67; paired Δ med/mean 0/-0.33 (3 pairs)
  projectSearchEpisodes: B med/mean 0/5.67; C 0/0.33; paired Δ med/mean 0/-5.33 (3 pairs)
  projectDropEpisodes: B med/mean 49/46; C 35/33; paired Δ med/mean -11/-13 (3 pairs)
  projectLogisticsActionEvents: B med/mean 143/181; C 87/106.33; paired Δ med/mean -14/-74.67 (3 pairs)
  jointProjectsCompleted: B med/mean 2/2.33; C 1/1; paired Δ med/mean 0/-1.33 (3 pairs)
  productionProjectsCompleted: B med/mean 1/1.33; C 1/1; paired Δ med/mean +1/-0.33 (3 pairs)
  constructionProjectsCompleted: B med/mean 8/7; C 4/4; paired Δ med/mean -2/-3 (3 pairs)
  totalStructures: B med/mean 12/11.67; C 9/7.67; paired Δ med/mean -4/-4 (3 pairs)
  completedStructures: B med/mean 4/4; C 3/2.33; paired Δ med/mean -2/-1.67 (3 pairs)
  constructionPlacements: B med/mean 18/16.33; C 14/12; paired Δ med/mean -4/-4.33 (3 pairs)
  containersBuilt: B med/mean 1/1; C 0/0.33; paired Δ med/mean -1/-0.67 (3 pairs)
  standingContainers: B med/mean 1/1; C 0/0.33; paired Δ med/mean -1/-0.67 (3 pairs)
  containerTransfers: B med/mean 7/8.67; C 0/1.33; paired Δ med/mean -7/-7.33 (3 pairs)
  storedUnits: B med/mean 7/8.67; C 0/1.33; paired Δ med/mean -7/-7.33 (3 pairs)
  movementActions: B med/mean 1156/1130.33; C 921/1196; paired Δ med/mean -91/+65.67 (3 pairs)
  movementActionShare: B med/mean 69.22/68.82; C 67.62/69.97; paired Δ med/mean -1.6/+1.15 (3 pairs)
  spearsCrafted: B med/mean 3/2.33; C 5/3.33; paired Δ med/mean +2/+1 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  recordsCreated: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  functionalInstitutions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  animalsHunted: B med/mean 2/2.67; C 3/2.67; paired Δ med/mean 0/0 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 0/1.33; C 0/1.67; paired Δ med/mean 0/+0.33 (3 pairs)
  predictionAccuracy: B med/mean 25/29.4; C 26.32/30.25; paired Δ med/mean 0/+0.86 (3 pairs)
  dehydrationHibernations: B med/mean 20/20.33; C 24/21.33; paired Δ med/mean 0/+1 (3 pairs)
  assistedDependentHibernations: B med/mean 2/1.33; C 4/3.67; paired Δ med/mean +2/+2.33 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 3/4; C 5/4.67; paired Δ med/mean 0/+0.67 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 49/46; C 35/33; paired Δ med/mean -11/-13 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 46/43; C 33/30.67; paired Δ med/mean -11/-12.33 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 49/46; C 35/33; paired Δ med/mean -11/-13 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 62/60.67; C 47/48.67; paired Δ med/mean -15/-12 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 62/60.67; C 47/48.67; paired Δ med/mean -15/-12 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 62/60.67; C 47/48.67; paired Δ med/mean -15/-12 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 62/60.67; C 47/48.67; paired Δ med/mean -15/-12 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 16/15.67; C 13/13; paired Δ med/mean -3/-2.67 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 269/230.67; C 163/157; paired Δ med/mean -106/-73.67 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 269/230.67; C 163/157; paired Δ med/mean -106/-73.67 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 269/230.67; C 163/157; paired Δ med/mean -106/-73.67 (3 pairs)
  hypothesisCombineAttempts: B med/mean 47/47.67; C 36/38.67; paired Δ med/mean -11/-9 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 44/42.33; C 33/34.67; paired Δ med/mean -7/-7.67 (3 pairs)
  hypothesisCombineResponses: B med/mean 3/5.33; C 4/4; paired Δ med/mean 0/-1.33 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 3/2.33; C 0/0.33; paired Δ med/mean -2/-2 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 8/7.33; C 0/0.33; paired Δ med/mean -8/-7 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 3/2.33; C 0/0.33; paired Δ med/mean -2/-2 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 44/45.33; C 35/38.33; paired Δ med/mean -9/-7 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 145/134.67; C 100/106; paired Δ med/mean -45/-28.67 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 41/40; C 32/34.33; paired Δ med/mean -5/-5.67 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 3/5.33; C 4/4; paired Δ med/mean 0/-1.33 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 2/1.33; C 0/0.33; paired Δ med/mean -1/-1 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 3/5.33; C 4/4; paired Δ med/mean 0/-1.33 (3 pairs)
  hypothesisExertAttempts: B med/mean 15/12.67; C 11/10; paired Δ med/mean -4/-2.67 (3 pairs)
  hypothesisExertNoResponses: B med/mean 15/11.67; C 10/9.67; paired Δ med/mean -2/-2 (3 pairs)
  hypothesisExertResponses: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 1/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 4/4.33; C 4/3; paired Δ med/mean 0/-1.33 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 14/12; C 9/9.33; paired Δ med/mean -3/-2.67 (3 pairs)
  hypothesisExposeAttempts: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 15/14; C 13/12.33; paired Δ med/mean -2/-1.67 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 1/1.33; C 1/0.67; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 59/54; C 43/44.33; paired Δ med/mean -7/-9.67 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 5/7; C 4/4.33; paired Δ med/mean -2/-2.67 (3 pairs)
  hypothesisResponses: B med/mean 3/6.67; C 4/4.33; paired Δ med/mean +1/-2.33 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 13/11; C 7/7.67; paired Δ med/mean -6/-3.33 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 104/76.67; C 47/44; paired Δ med/mean -56/-32.67 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 13/10.33; C 7/7.67; paired Δ med/mean -4/-2.67 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 0/0.67; C 0/0; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 2/1.67; C 3/2.33; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 12/10; C 5/6.67; paired Δ med/mean -7/-3.33 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 1/1.33; C 3/2; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTotalBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatAttempts: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatCandidates: B med/mean 0/2; C 0/0; paired Δ med/mean 0/-2 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisUniquePairs: B med/mean 42/38.67; C 34/32; paired Δ med/mean -8/-6.67 (3 pairs)
  hypothesisUniqueSignatures: B med/mean 42/38.67; C 34/32; paired Δ med/mean -8/-6.67 (3 pairs)
  hypothesisUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisUnresolvedActors: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
