Paired evolution matrix comparison
Baseline: review10-v2b-life-stage-clock-20260820 (3 runs)
Candidate: review10-v3-current-month-protocol-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 9/8.33; C 10/10; paired Δ med/mean +1/+1.67 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 74/72.67; C 362/263.33; paired Δ med/mean +283/+190.67 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 32/36; C 15/40.67; paired Δ med/mean 0/+4.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 990/1061.67; C 1271/1199; paired Δ med/mean +11/+137.33 (3 pairs)
  actionPersonMonths: B med/mean 545/555.33; C 615/613; paired Δ med/mean +56/+57.67 (3 pairs)
  projectActionPersonMonths: B med/mean 63/66.67; C 106/101.33; paired Δ med/mean +54/+34.67 (3 pairs)
  projectActionMonthShare: B med/mean 11.56/11.9; C 17.01/16.47; paired Δ med/mean +7.99/+4.57 (3 pairs)
  ruleDecisions: B med/mean 1114/1090.67; C 1447/1402.33; paired Δ med/mean +239/+311.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 15.26/18.44; C 34.97/29.35; paired Δ med/mean +6.7/+10.91 (3 pairs)
  strategicIntents: B med/mean 179/192.33; C 499/411.67; paired Δ med/mean +231/+219.33 (3 pairs)
  socialIntents: B med/mean 974/882.67; C 928/964; paired Δ med/mean +167/+81.33 (3 pairs)
  communications: B med/mean 402/389; C 372/362.67; paired Δ med/mean -27/-26.33 (3 pairs)
  survivalReflexActions: B med/mean 522/564.67; C 453/595.67; paired Δ med/mean -62/+31 (3 pairs)
  projectsStarted: B med/mean 19/19; C 25/27; paired Δ med/mean +9/+8 (3 pairs)
  projectsCompleted: B med/mean 12/11; C 11/12; paired Δ med/mean +2/+1 (3 pairs)
  projectsBlocked: B med/mean 8/7; C 13/12.33; paired Δ med/mean +5/+5.33 (3 pairs)
  projectPressureBasisProjects: B med/mean 19/19; C 25/27; paired Δ med/mean +9/+8 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 251/330.67; C 609/560; paired Δ med/mean +196/+229.33 (3 pairs)
  projectsWithPressureUpdates: B med/mean 19/18.67; C 24/26; paired Δ med/mean +8/+7.33 (3 pairs)
  projectPressureUpdates: B med/mean 232/311.67; C 584/533; paired Δ med/mean +186/+221.33 (3 pairs)
  projectPressureIncreases: B med/mean 35/49.67; C 88/88; paired Δ med/mean +23/+38.33 (3 pairs)
  projectPressureDecreases: B med/mean 56/64.67; C 109/105.33; paired Δ med/mean +17/+40.67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 141/197.33; C 331/339.67; paired Δ med/mean +163/+142.33 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 0/3.33; C 5/11.67; paired Δ med/mean +5/+8.33 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 2/3; C 3/7.67; paired Δ med/mean +1/+4.67 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 33/26; C 14/16; paired Δ med/mean -19/-10 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 502/559.33; C 959/836.67; paired Δ med/mean +356/+277.33 (3 pairs)
  projectProgressProjects: B med/mean 19/19; C 22/23.33; paired Δ med/mean +6/+4.33 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 349/404.33; C 822/677; paired Δ med/mean +375/+272.67 (3 pairs)
  projectMaterialContributionProgress: B med/mean 153/155; C 164/159.67; paired Δ med/mean +11/+4.67 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 7/6.67; C 11/10.33; paired Δ med/mean +4/+3.67 (3 pairs)
  projectSearchCampaigns: B med/mean 4/4; C 9/7.67; paired Δ med/mean +4/+3.67 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 2/3; C 8/7; paired Δ med/mean +3/+4 (3 pairs)
  searchCampaignActive: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  searchCampaignExhausted: B med/mean 1/1; C 2/1.67; paired Δ med/mean +2/+0.67 (3 pairs)
  searchCampaignSuperseded: B med/mean 1/1; C 1/0.67; paired Δ med/mean 0/-0.33 (3 pairs)
  searchCampaignClosed: B med/mean 0/2; C 4/5; paired Δ med/mean +4/+3 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 40/41.67; C 123/90; paired Δ med/mean +66/+48.33 (3 pairs)
  searchCampaignMaxTargets: B med/mean 36/38.33; C 43/31.67; paired Δ med/mean -32/-6.67 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 117/125.33; C 205/180; paired Δ med/mean +66/+54.67 (3 pairs)
  projectLogisticsFulfilled: B med/mean 117/123; C 198/174; paired Δ med/mean +57/+51 (3 pairs)
  projectLogisticsExhausted: B med/mean 2/1.33; C 7/5; paired Δ med/mean +5/+3.67 (3 pairs)
  projectSearchEpisodes: B med/mean 40/41.67; C 123/90; paired Δ med/mean +66/+48.33 (3 pairs)
  projectDropEpisodes: B med/mean 63/68; C 72/72.67; paired Δ med/mean +7/+4.67 (3 pairs)
  projectLogisticsActionEvents: B med/mean 424/484.33; C 902/763.67; paired Δ med/mean +374/+279.33 (3 pairs)
  jointProjectsCompleted: B med/mean 1/1; C 1/1.33; paired Δ med/mean 0/+0.33 (3 pairs)
  productionProjectsCompleted: B med/mean 3/3.33; C 5/3.67; paired Δ med/mean 0/+0.33 (3 pairs)
  constructionProjectsCompleted: B med/mean 7/7.67; C 9/8.33; paired Δ med/mean +1/+0.67 (3 pairs)
  totalStructures: B med/mean 11/11; C 8/9.33; paired Δ med/mean -3/-1.67 (3 pairs)
  completedStructures: B med/mean 1/2; C 2/1.67; paired Δ med/mean 0/-0.33 (3 pairs)
  constructionPlacements: B med/mean 14/16.33; C 14/12.67; paired Δ med/mean -6/-3.67 (3 pairs)
  containersBuilt: B med/mean 3/2.67; C 3/2.67; paired Δ med/mean 0/0 (3 pairs)
  standingContainers: B med/mean 3/2.67; C 3/2.67; paired Δ med/mean 0/0 (3 pairs)
  containerTransfers: B med/mean 4/4; C 3/3; paired Δ med/mean -2/-1 (3 pairs)
  storedUnits: B med/mean 4/4; C 5/3.67; paired Δ med/mean -1/-0.33 (3 pairs)
  movementActions: B med/mean 1358/1287.33; C 2263/1883; paired Δ med/mean +936/+595.67 (3 pairs)
  movementActionShare: B med/mean 52.29/52.35; C 65.08/58.21; paired Δ med/mean +14.68/+5.85 (3 pairs)
  spearsCrafted: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 0/0.67; C 0/0; paired Δ med/mean 0/-0.67 (3 pairs)
  recordsCreated: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  functionalInstitutions: B med/mean 1/1; C 2/2.33; paired Δ med/mean +1/+1.33 (3 pairs)
  animalsHunted: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 1/2; C 1/1.33; paired Δ med/mean 0/-0.67 (3 pairs)
  dehydrationHibernations: B med/mean 24/25; C 21/22.33; paired Δ med/mean -3/-2.67 (3 pairs)
  assistedDependentHibernations: B med/mean 3/3; C 5/4.33; paired Δ med/mean +2/+1.33 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 72/77.33; C 87/83.67; paired Δ med/mean +5/+6.33 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 68/74; C 83/79.67; paired Δ med/mean +6/+5.67 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 63/68; C 72/72.67; paired Δ med/mean +7/+4.67 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 18/18.33; C 29/29.33; paired Δ med/mean +11/+11 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 18/18.33; C 29/29.33; paired Δ med/mean +11/+11 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 18/18.33; C 29/29.33; paired Δ med/mean +11/+11 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 18/18.33; C 29/29.33; paired Δ med/mean +11/+11 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 8/9.33; C 15/15; paired Δ med/mean +5/+5.67 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 96/110; C 178/182.33; paired Δ med/mean +75/+72.33 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 96/110; C 178/182.33; paired Δ med/mean +75/+72.33 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 96/110; C 178/182.33; paired Δ med/mean +75/+72.33 (3 pairs)
  hypothesisCombineAttempts: B med/mean 17/16; C 26/25.33; paired Δ med/mean +9/+9.33 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 13/10.33; C 18/18.33; paired Δ med/mean +6/+8 (3 pairs)
  hypothesisCombineResponses: B med/mean 6/5.67; C 8/7; paired Δ med/mean +2/+1.33 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 0/0.33; C 1/1.33; paired Δ med/mean +1/+1 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 0/4; C 11/11.33; paired Δ med/mean +11/+7.33 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 0/0.33; C 1/1.33; paired Δ med/mean +1/+1 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 17/15.67; C 26/24; paired Δ med/mean +9/+8.33 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 84/85; C 147/137.33; paired Δ med/mean +45/+52.33 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 13/10; C 18/17; paired Δ med/mean +5/+7 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 6/5.67; C 8/7; paired Δ med/mean +2/+1.33 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 1/0.67; C 1/1.33; paired Δ med/mean 0/+0.67 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 2/2.33; C 3/3; paired Δ med/mean +2/+0.67 (3 pairs)
  hypothesisExertAttempts: B med/mean 1/1; C 2/2; paired Δ med/mean +1/+1 (3 pairs)
  hypothesisExertNoResponses: B med/mean 1/0.67; C 2/2; paired Δ med/mean +1/+1.33 (3 pairs)
  hypothesisExertResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 1/1.33; C 2/1.33; paired Δ med/mean +1/0 (3 pairs)
  hypothesisExposeAttempts: B med/mean 1/1.33; C 2/2; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeResponses: B med/mean 1/1.33; C 2/2; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 4/4; C 9/8.67; paired Δ med/mean +5/+4.67 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 6/5; C 6/6.33; paired Δ med/mean +3/+1.33 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 14/11; C 19/20.33; paired Δ med/mean +9/+9.33 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 4/3.33; C 4/4.33; paired Δ med/mean +2/+1 (3 pairs)
  hypothesisResponses: B med/mean 7/7.33; C 10/9; paired Δ med/mean +2/+1.67 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 1/1; C 2/1.67; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 12/12; C 22/19.33; paired Δ med/mean +10/+7.33 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 1/0.67; C 2/1.67; paired Δ med/mean +1/+1 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 0/0; C 0/1; paired Δ med/mean 0/+1 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTotalBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatAttempts: B med/mean 1/1.33; C 2/2; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatCandidates: B med/mean 6/9; C 12/13.33; paired Δ med/mean +7/+4.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatResponses: B med/mean 1/1.33; C 2/2; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisUniquePairs: B med/mean 14/14.67; C 21/21; paired Δ med/mean +6/+6.33 (3 pairs)
  hypothesisUniqueSignatures: B med/mean 14/14.67; C 21/21; paired Δ med/mean +6/+6.33 (3 pairs)
  hypothesisUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisUnresolvedActors: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
