Paired evolution matrix comparison
Baseline: cand-private-food-floor-v16 (9 runs)
Candidate: cand-production-tool-upgrade-v17 (9 runs)
Matched by seed+years+repeat: 9; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 7/7.33; C 6/6.33; paired Δ med/mean -1/-1 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 6/6.33; C 7/8; paired Δ med/mean +1/+1.67 (3 pairs)
  projectSearchCampaigns: B med/mean 5/5.33; C 4/5.67; paired Δ med/mean +1/+0.33 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 5/5.33; C 4/5; paired Δ med/mean +1/-0.33 (3 pairs)
  searchCampaignActive: B med/mean 1/0.67; C 0/1; paired Δ med/mean 0/+0.33 (3 pairs)
  searchCampaignExhausted: B med/mean 0/0; C 0/0.67; paired Δ med/mean 0/+0.67 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/0; C 0/0.67; paired Δ med/mean 0/+0.67 (3 pairs)
  searchCampaignClosed: B med/mean 4/4.67; C 4/3.33; paired Δ med/mean -2/-1.33 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 6/20.33; C 5/61.33; paired Δ med/mean +2/+41 (3 pairs)
  searchCampaignMaxTargets: B med/mean 2/15.33; C 2/20.33; paired Δ med/mean +1/+5 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 77/96.33; C 55/131.33; paired Δ med/mean -6/+35 (3 pairs)
  projectLogisticsFulfilled: B med/mean 76/91.33; C 55/126.67; paired Δ med/mean -2/+35.33 (3 pairs)
  projectLogisticsExhausted: B med/mean 0/2.33; C 0/1.67; paired Δ med/mean 0/-0.67 (3 pairs)
  projectSearchEpisodes: B med/mean 6/20.33; C 5/61.33; paired Δ med/mean +2/+41 (3 pairs)
  projectDropEpisodes: B med/mean 57/61; C 40/57.33; paired Δ med/mean -9/-3.67 (3 pairs)
  projectLogisticsActionEvents: B med/mean 231/360.33; C 182/556.33; paired Δ med/mean -10/+196 (3 pairs)
  jointProjectsCompleted: B med/mean 2/2; C 1/1; paired Δ med/mean -1/-1 (3 pairs)
  productionProjectsCompleted: B med/mean 2/5; C 2/3.67; paired Δ med/mean -1/-1.33 (3 pairs)
  constructionProjectsCompleted: B med/mean 10/8.67; C 5/6.67; paired Δ med/mean -3/-2 (3 pairs)
  totalStructures: B med/mean 9/8.33; C 6/8.67; paired Δ med/mean -1/+0.33 (3 pairs)
  completedStructures: B med/mean 2/1.67; C 1/1; paired Δ med/mean -1/-0.67 (3 pairs)
  constructionPlacements: B med/mean 12/12; C 13/13.67; paired Δ med/mean -1/+1.67 (3 pairs)
  containersBuilt: B med/mean 2/2; C 1/1.33; paired Δ med/mean -1/-0.67 (3 pairs)
  standingContainers: B med/mean 2/2; C 1/1.33; paired Δ med/mean -1/-0.67 (3 pairs)
  containerTransfers: B med/mean 2/3.33; C 2/1.67; paired Δ med/mean 0/-1.67 (3 pairs)
  storedUnits: B med/mean 2/3.33; C 2/1.67; paired Δ med/mean 0/-1.67 (3 pairs)
  movementActions: B med/mean 945/1151.33; C 981/1729.33; paired Δ med/mean +461/+578 (3 pairs)
  movementActionShare: B med/mean 44.77/46.3; C 45.99/52.76; paired Δ med/mean +9.87/+6.46 (3 pairs)
  spearsCrafted: B med/mean 0/0.33; C 1/1; paired Δ med/mean +1/+0.67 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  recordsCreated: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  functionalInstitutions: B med/mean 1/1.67; C 1/3.33; paired Δ med/mean 0/+1.67 (3 pairs)
  animalsHunted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 1/2; C 1/1.33; paired Δ med/mean 0/-0.67 (3 pairs)
  dehydrationHibernations: B med/mean 5/6.33; C 4/3; paired Δ med/mean -4/-3.33 (3 pairs)
  assistedDependentHibernations: B med/mean 4/3.67; C 4/3; paired Δ med/mean 0/-0.67 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 0/0.67; C 0/0; paired Δ med/mean 0/-0.67 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 70/70.67; C 46/65; paired Δ med/mean -7/-5.67 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 68/66.33; C 46/61; paired Δ med/mean -2/-5.33 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 57/61; C 40/57.33; paired Δ med/mean -9/-3.67 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 29/29.67; C 15/22.67; paired Δ med/mean -7/-7 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 29/29.67; C 15/22.67; paired Δ med/mean -7/-7 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 29/29.67; C 15/22.67; paired Δ med/mean -7/-7 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 29/29.67; C 15/22.67; paired Δ med/mean -7/-7 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 13/14.67; C 10/13.33; paired Δ med/mean -3/-1.33 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 146/176; C 112/152.67; paired Δ med/mean -27/-23.33 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 146/176; C 112/152.67; paired Δ med/mean -27/-23.33 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 146/176; C 112/152.67; paired Δ med/mean -27/-23.33 (3 pairs)
  hypothesisCombineAttempts: B med/mean 27/27; C 15/21; paired Δ med/mean -6/-6 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 19/19.33; C 12/14; paired Δ med/mean -8/-5.33 (3 pairs)
  hypothesisCombineResponses: B med/mean 5/7.67; C 6/7; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 2/2; C 2/2.67; paired Δ med/mean 0/+0.67 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 24/20.67; C 24/24; paired Δ med/mean 0/+3.33 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 1/1.67; C 2/2.67; paired Δ med/mean +1/+1 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 27/25; C 13/18.33; paired Δ med/mean -4/-6.67 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 122/132.67; C 93/113.67; paired Δ med/mean -6/-19 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 18/17.67; C 8/11.33; paired Δ med/mean -6/-6.33 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 5/7.33; C 6/7; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 1/1.33; C 2/1.67; paired Δ med/mean +1/+0.33 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 1/1.33; C 2/2.67; paired Δ med/mean +2/+1.33 (3 pairs)
  hypothesisExertAttempts: B med/mean 1/1; C 0/0; paired Δ med/mean -1/-1 (3 pairs)
  hypothesisExertNoResponses: B med/mean 1/1; C 0/0; paired Δ med/mean -1/-1 (3 pairs)
  hypothesisExertResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 4/3.33; C 1/1; paired Δ med/mean -2/-2.33 (3 pairs)
  hypothesisExposeAttempts: B med/mean 0/1.67; C 0/1.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisExposeResponses: B med/mean 0/1.67; C 0/1.33; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 7/7.33; C 6/6.67; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 5/7.33; C 5/6.33; paired Δ med/mean -2/-1 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 19/20.33; C 12/14.33; paired Δ med/mean -9/-6 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 4/2.67; C 3/4.33; paired Δ med/mean +3/+1.67 (3 pairs)
  hypothesisResponses: B med/mean 5/9.33; C 6/8.33; paired Δ med/mean -2/-1 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 1/1; C 0/0; paired Δ med/mean -1/-1 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 2/8.67; C 0/3.33; paired Δ med/mean -2/-5.33 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 1/1; C 0/0; paired Δ med/mean -1/-1 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTotalBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatAttempts: B med/mean 0/1.67; C 0/1.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatCandidates: B med/mean 0/14; C 0/11.67; paired Δ med/mean 0/-2.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatNoResponses: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatResponses: B med/mean 0/1.67; C 0/1.33; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisUniquePairs: B med/mean 21/21.33; C 12/17.67; paired Δ med/mean -5/-3.67 (3 pairs)
  hypothesisUniqueSignatures: B med/mean 21/21.33; C 12/17.67; paired Δ med/mean -5/-3.67 (3 pairs)
  hypothesisUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
