Paired evolution matrix comparison
Baseline: review10-v8-accessible-capability-20260820 (3 runs)
Candidate: review10-v9-public-record-20260820 (6 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/3
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 10/10; C 9/9.33; paired Δ med/mean 0/-0.67 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 14/15.33; C 14/11; paired Δ med/mean -14/-4.33 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0.33; C 1/1.33; paired Δ med/mean +1/+1 (3 pairs)
  interruptChildrenCompleted: B med/mean 113/181.67; C 137/173.33; paired Δ med/mean +56/-8.33 (3 pairs)
  interruptChildrenBlocked: B med/mean 13/13.33; C 11/9; paired Δ med/mean -13/-4.33 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 140/195; C 137/182.33; paired Δ med/mean +43/-12.67 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0.01; paired Δ med/mean 0/+0.01 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 49/135; C 107/167; paired Δ med/mean +58/+32 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 45/60; C 15/15.33; paired Δ med/mean -15/-44.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 1058/994; C 1039/1054.33; paired Δ med/mean +102/+60.33 (3 pairs)
  actionPersonMonths: B med/mean 574/572; C 551/563; paired Δ med/mean -12/-9 (3 pairs)
  projectActionPersonMonths: B med/mean 67/77.67; C 60/56.33; paired Δ med/mean -24/-21.33 (3 pairs)
  projectActionMonthShare: B med/mean 12.86/13.76; C 10.84/9.95; paired Δ med/mean -4.73/-3.81 (3 pairs)
  ruleDecisions: B med/mean 1202/1393.67; C 1647/1585; paired Δ med/mean +445/+191.33 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 17.17/19.56; C 11.73/17.2; paired Δ med/mean -5.44/-2.36 (3 pairs)
  strategicIntents: B med/mean 200/277.33; C 195/272.67; paired Δ med/mean -3/-4.67 (3 pairs)
  socialIntents: B med/mean 988/1089.67; C 1304/1289.67; paired Δ med/mean +109/+200 (3 pairs)
  communications: B med/mean 339/360; C 393/388.33; paired Δ med/mean +30/+28.33 (3 pairs)
  survivalReflexActions: B med/mean 336/379.67; C 431/427.67; paired Δ med/mean +108/+48 (3 pairs)
  projectsStarted: B med/mean 19/19.33; C 22/21.67; paired Δ med/mean -1/+2.33 (3 pairs)
  projectsCompleted: B med/mean 11/10; C 12/12.67; paired Δ med/mean +2/+2.67 (3 pairs)
  projectsBlocked: B med/mean 6/7.33; C 7/6.67; paired Δ med/mean -1/-0.67 (3 pairs)
  projectPressureBasisProjects: B med/mean 19/19.33; C 22/21.67; paired Δ med/mean -1/+2.33 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 226/360; C 362/315.67; paired Δ med/mean -23/-44.33 (3 pairs)
  projectsWithPressureUpdates: B med/mean 17/18; C 22/20.67; paired Δ med/mean 0/+2.67 (3 pairs)
  projectPressureUpdates: B med/mean 207/340.67; C 340/294; paired Δ med/mean -22/-46.67 (3 pairs)
  projectPressureIncreases: B med/mean 34/54.67; C 65/50.33; paired Δ med/mean -8/-4.33 (3 pairs)
  projectPressureDecreases: B med/mean 46/71.67; C 83/70; paired Δ med/mean -11/-1.67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 132/214.33; C 183/173.67; paired Δ med/mean -3/-40.67 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 5/4.67; C 1/2.67; paired Δ med/mean -2/-2 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 4/8; C 2/2; paired Δ med/mean -1/-6 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 11/8; C 7/10.67; paired Δ med/mean +2/+2.67 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 465/617.33; C 460/424.67; paired Δ med/mean -179/-192.67 (3 pairs)
  projectProgressProjects: B med/mean 19/18.67; C 22/20; paired Δ med/mean -2/+1.33 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 370/482; C 261/261; paired Δ med/mean -209/-221 (3 pairs)
  projectMaterialContributionProgress: B med/mean 134/135.33; C 167/163.67; paired Δ med/mean +30/+28.33 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 6/6.33; C 5/5; paired Δ med/mean 0/-1.33 (3 pairs)
  projectSearchCampaigns: B med/mean 4/6; C 5/5.33; paired Δ med/mean 0/-0.67 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 3/4.67; C 5/5; paired Δ med/mean +1/+0.33 (3 pairs)
  searchCampaignActive: B med/mean 0/0.33; C 1/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  searchCampaignExhausted: B med/mean 1/1.33; C 3/2; paired Δ med/mean 0/+0.67 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/0.67; C 0/0; paired Δ med/mean 0/-0.67 (3 pairs)
  searchCampaignClosed: B med/mean 4/3.67; C 3/2.67; paired Δ med/mean -1/-1 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 31/55.67; C 4/19; paired Δ med/mean -27/-36.67 (3 pairs)
  searchCampaignMaxTargets: B med/mean 28/23.33; C 1/16.33; paired Δ med/mean 0/-7 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 93/138; C 102/99.67; paired Δ med/mean -23/-38.33 (3 pairs)
  projectLogisticsFulfilled: B med/mean 91/135.67; C 102/99.33; paired Δ med/mean -22/-36.33 (3 pairs)
  projectLogisticsExhausted: B med/mean 0/1; C 0/0; paired Δ med/mean 0/-1 (3 pairs)
  projectSearchEpisodes: B med/mean 31/55.67; C 4/19; paired Δ med/mean -27/-36.67 (3 pairs)
  projectDropEpisodes: B med/mean 64/65.33; C 59/61.67; paired Δ med/mean +1/-3.67 (3 pairs)
  projectLogisticsActionEvents: B med/mean 427/560.33; C 353/337.33; paired Δ med/mean -203/-223 (3 pairs)
  jointProjectsCompleted: B med/mean 2/1.67; C 2/2; paired Δ med/mean +1/+0.33 (3 pairs)
  productionProjectsCompleted: B med/mean 3/3.67; C 4/4.33; paired Δ med/mean +1/+0.67 (3 pairs)
  constructionProjectsCompleted: B med/mean 7/6.33; C 7/8.33; paired Δ med/mean +3/+2 (3 pairs)
  totalStructures: B med/mean 10/9.33; C 11/12; paired Δ med/mean +5/+2.67 (3 pairs)
  completedStructures: B med/mean 1/1.67; C 3/2.33; paired Δ med/mean 0/+0.67 (3 pairs)
  constructionPlacements: B med/mean 11/11.33; C 14/14.67; paired Δ med/mean +5/+3.33 (3 pairs)
  containersBuilt: B med/mean 1/2; C 3/2.67; paired Δ med/mean +1/+0.67 (3 pairs)
  standingContainers: B med/mean 1/2; C 3/2.67; paired Δ med/mean +1/+0.67 (3 pairs)
  containerTransfers: B med/mean 2/2.67; C 10/8.67; paired Δ med/mean +4/+6 (3 pairs)
  storedUnits: B med/mean 2/2.67; C 2/1.33; paired Δ med/mean -2/-1.33 (3 pairs)
  movementActions: B med/mean 920/1293; C 1003/1083; paired Δ med/mean -35/-210 (3 pairs)
  movementActionShare: B med/mean 44.27/47.77; C 38.92/40.87; paired Δ med/mean -9.26/-6.9 (3 pairs)
  spearsCrafted: B med/mean 0/1; C 0/0; paired Δ med/mean 0/-1 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  recordsCreated: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  functionalInstitutions: B med/mean 1/1.67; C 2/2.67; paired Δ med/mean 0/+1 (3 pairs)
  animalsHunted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 1/2; C 1/2; paired Δ med/mean 0/0 (3 pairs)
  dehydrationHibernations: B med/mean 23/23.67; C 22/24.33; paired Δ med/mean +1/+0.67 (3 pairs)
  assistedDependentHibernations: B med/mean 4/4; C 3/3.67; paired Δ med/mean 0/-0.33 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 75/74.33; C 76/74; paired Δ med/mean +4/-0.33 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 73/70; C 72/70.67; paired Δ med/mean +5/+0.67 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 64/65.33; C 59/61.67; paired Δ med/mean +1/-3.67 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 23/19; C 14/12.33; paired Δ med/mean -9/-6.67 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 23/19; C 14/12.33; paired Δ med/mean -9/-6.67 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 23/19; C 14/12.33; paired Δ med/mean -9/-6.67 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 23/19; C 14/12.33; paired Δ med/mean -9/-6.67 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 11/11.33; C 11/10.33; paired Δ med/mean -3/-1 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 152/133.67; C 121/115; paired Δ med/mean -33/-18.67 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 152/133.67; C 121/115; paired Δ med/mean -33/-18.67 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 152/133.67; C 121/115; paired Δ med/mean -33/-18.67 (3 pairs)
  hypothesisCombineAttempts: B med/mean 18/16.67; C 13/11.33; paired Δ med/mean -5/-5.33 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 9/10.33; C 6/5.67; paired Δ med/mean -3/-4.67 (3 pairs)
  hypothesisCombineResponses: B med/mean 7/6.33; C 6/5.67; paired Δ med/mean -2/-0.67 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 1/0.67; C 1/0.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 5/5.67; C 1/1.67; paired Δ med/mean -1/-4 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 1/0.67; C 1/0.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 17/16; C 12/10.67; paired Δ med/mean -5/-5.33 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 123/106.67; C 105/104; paired Δ med/mean +12/-2.67 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 8/9.67; C 5/5; paired Δ med/mean -3/-4.67 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 7/6.33; C 6/5.67; paired Δ med/mean -2/-0.67 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 1/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExertAttempts: B med/mean 2/1.33; C 1/0.67; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisExertNoResponses: B med/mean 2/1.33; C 1/0.67; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisExertResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 0/1.33; C 0/0.33; paired Δ med/mean 0/-1 (3 pairs)
  hypothesisExposeAttempts: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeResponses: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 6/5.33; C 5/4.67; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 5/6; C 6/5.67; paired Δ med/mean -1/-0.33 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 11/11.67; C 6/6.33; paired Δ med/mean -5/-5.33 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 1/1.67; C 1/0.67; paired Δ med/mean 0/-1 (3 pairs)
  hypothesisResponses: B med/mean 7/7.33; C 6/6; paired Δ med/mean -3/-1.33 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 2/1.33; C 1/0.67; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 20/14.67; C 10/7.33; paired Δ med/mean -14/-7.33 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 2/1.33; C 1/0.67; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTotalBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatAttempts: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatCandidates: B med/mean 0/6.67; C 0/2; paired Δ med/mean 0/-4.67 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatResponses: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisUniquePairs: B med/mean 17/14; C 8/7.67; paired Δ med/mean -9/-6.33 (3 pairs)
  hypothesisUniqueSignatures: B med/mean 17/14; C 8/7.67; paired Δ med/mean -9/-6.33 (3 pairs)
  hypothesisUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisUnresolvedActors: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
